Away_Manager_Name,Away_Team_Country,Away_Team_Gender,Away_Team_Name,Away_Team_Score,Competition_Country,Competition_Name,Competition_Stage,Home_Manager_Name,Home_Team_Country,Home_Team_Gender,Home_Team_Name,Home_Team_Score,Referee_Country,Referee_Name,Season_Name,Stadium_Name
Willy Sagnol,France,male,Bordeaux,2,France,Ligue 1,Regular Season,Sylvain Ripoll,France,male,Lorient,3,France,Clément Turpin,2015/2016,Stade Yves Allainmat - Le Moustoir
Jocelyn Gourvennec,France,male,Guingamp,1,France,Ligue 1,Regular Season,Jean-Marc Furlan,France,male,Troyes,0,France,Jérôme Miguelgorry,2015/2016,Stade de l''Aube
Dominique Arribagé,France,male,Toulouse,2,France,Ligue 1,Regular Season,Thierry Laurey,France,male,Gazélec Ajaccio,2,France,Frank Schneider,2015/2016,Stade Ange Casanova (Ajaccio)
Rolland Courbis,France,male,Montpellier,0,France,Ligue 1,Regular Season,Hervé Renard,France,male,Lille,2,France,Saïd Ennjimi,2015/2016,Decathlon Arena ? Stade Pierre-Mauroy
Michel Der Zakarian,France,male,Nantes,1,France,Ligue 1,Regular Season,Hervé Renard,France,male,Lille,0,France,Jérôme Miguelgorry,2015/2016,Decathlon Arena ? Stade Pierre-Mauroy
Stéphane Moulin,France,male,Angers,2,France,Ligue 1,Regular Season,José Miguel González Martín del Campo,France,male,Marseille,1,France,Mikael Lesage,2015/2016,Orange Vélodrome
Claude Puel,France,male,OGC Nice,4,France,Ligue 1,Regular Season,Christophe Galtier,France,male,Saint-Étienne,1,France,Bartolomeu Varela Teles,2015/2016,Stade Geoffroy-Guichard 
Sylvain Ripoll,France,male,Lorient,1,France,Ligue 1,Regular Season,Rolland Courbis,France,male,Montpellier,2,France,Stéphane Jochem,2015/2016,Stade de la Mosson 
José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,3,France,Ligue 1,Regular Season,Jocelyn Gourvennec,France,male,Guingamp,3,France,Wilfried Bien,2015/2016,Stade du Roudourou
Thierry Laurey,France,male,Gazélec Ajaccio,0,France,Ligue 1,Regular Season,Patrice Garande,France,male,Caen,2,France,Lionel Jaffredo,2015/2016,Stade Michel d''Ornano
Dominique Arribagé,France,male,Toulouse,0,France,Ligue 1,Regular Season,Ghislain Printant,France,male,Bastia,3,France,Hakim Ben El Hadj Salem,2015/2016,Stade Armand-Césari
Jean-Marc Furlan,France,male,Troyes,1,France,Ligue 1,Regular Season,Philippe Jacques William Montanier,France,male,Rennes,1,France,Johan Hamel,2015/2016,Roazhon Park
Hubert Fournier,France,male,Lyon,1,France,Ligue 1,Regular Season,Willy Sagnol,France,male,Bordeaux,3,France,Benoît Millot,2015/2016,Stade Matmut Atlantique
Laurent Blanc,France,male,Paris Saint-Germain,4,France,Ligue 1,Regular Season,Michel Der Zakarian,France,male,Nantes,1,France,Amaury Delerue,2015/2016,Stade de la Beaujoire - Louis Fonteneau
Hervé Renard,France,male,Lille,0,France,Ligue 1,Regular Season,Olivier Guégan,France,male,Stade de Reims,1,France,Ruddy Buquet,2015/2016,Stade Auguste-Delaune II 
José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,3,France,Ligue 1,Regular Season,Rolland Courbis,France,male,Montpellier,2,France,Clément Turpin,2015/2016,Stade de la Mosson 
Christophe Galtier,France,male,Saint-Étienne,1,France,Ligue 1,Regular Season,Jean-Marc Furlan,France,male,Troyes,0,France,Sébastien Moreira,2015/2016,Stade de l''Aube
José Miguel González Martín del Campo,France,male,Marseille,1,France,Ligue 1,Regular Season,Dominique Arribagé,France,male,Toulouse,1,France,Antony Gautier,2015/2016,Stadium de Toulouse
Ghislain Printant,France,male,Bastia,0,France,Ligue 1,Regular Season,Hubert Fournier,France,male,Lyon,2,France,Benoît Bastien,2015/2016,Stade de Gerland
Willy Sagnol,France,male,Bordeaux,1,France,Ligue 1,Regular Season,Claude Puel,France,male,OGC Nice,6,France,Nicolas Rainville,2015/2016,Allianz Riviera 
Olivier Guégan,France,male,Stade de Reims,0,France,Ligue 1,Regular Season,Stéphane Moulin,France,male,Angers,0,France,Tony Chapron,2015/2016,Stade Raymond-Kopa
Jocelyn Gourvennec,France,male,Guingamp,0,France,Ligue 1,Regular Season,Laurent Blanc,France,male,Paris Saint-Germain,3,France,Frank Schneider,2015/2016,Parc des Princes 
Hubert Fournier,France,male,Lyon,1,France,Ligue 1,Regular Season,José Miguel González Martín del Campo,France,male,Marseille,1,France,Ruddy Buquet,2015/2016,Orange Vélodrome
Dominique Arribagé,France,male,Toulouse,1,France,Ligue 1,Regular Season,Willy Sagnol,France,male,Bordeaux,1,France,Mikael Lesage,2015/2016,Stade Matmut Atlantique
Thierry Laurey,France,male,Gazélec Ajaccio,1,France,Ligue 1,Regular Season,Jocelyn Gourvennec,France,male,Guingamp,2,France,Nicolas Rainville,2015/2016,Stade du Roudourou
Rolland Courbis,France,male,Montpellier,1,France,Ligue 1,Regular Season,Patrice Garande,France,male,Caen,2,France,Hakim Ben El Hadj Salem,2015/2016,Stade Michel d''Ornano
Laurent Blanc,France,male,Paris Saint-Germain,1,France,Ligue 1,Regular Season,Olivier Guégan,France,male,Stade de Reims,1,France,Bartolomeu Varela Teles,2015/2016,Stade Auguste-Delaune II 
Claude Puel,France,male,OGC Nice,3,France,Ligue 1,Regular Season,Ghislain Printant,France,male,Bastia,1,France,Wilfried Bien,2015/2016,Stade Armand-Césari
Hervé Renard,France,male,Lille,1,France,Ligue 1,Regular Season,Philippe Jacques William Montanier,France,male,Rennes,1,France,Stéphane Jochem,2015/2016,Roazhon Park
José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,1,France,Ligue 1,Regular Season,Thierry Laurey,France,male,Gazélec Ajaccio,0,France,Sébastien Moreira,2015/2016,Stade Ange Casanova (Ajaccio)
Ghislain Printant,France,male,Bastia,1,France,Ligue 1,Regular Season,José Miguel González Martín del Campo,France,male,Marseille,4,France,Nicolas Rainville,2015/2016,Orange Vélodrome
Philippe Jacques William Montanier,France,male,Rennes,2,France,Ligue 1,Regular Season,Michel Der Zakarian,France,male,Nantes,0,France,Wilfried Bien,2015/2016,Stade de la Beaujoire - Louis Fonteneau
Olivier Guégan,France,male,Stade de Reims,2,France,Ligue 1,Regular Season,Dominique Arribagé,France,male,Toulouse,2,France,Fredy Fautrel,2015/2016,Stadium de Toulouse
Christophe Galtier,France,male,Saint-Étienne,2,France,Ligue 1,Regular Season,Rolland Courbis,France,male,Montpellier,1,France,Lionel Jaffredo,2015/2016,Stade de la Mosson 
Stéphane Moulin,France,male,Angers,1,France,Ligue 1,Regular Season,Sylvain Ripoll,France,male,Lorient,3,France,Jérôme Miguelgorry,2015/2016,Stade Yves Allainmat - Le Moustoir
Patrice Garande,France,male,Caen,3,France,Ligue 1,Regular Season,Jean-Marc Furlan,France,male,Troyes,1,France,Bartolomeu Varela Teles,2015/2016,Stade de l''Aube
Willy Sagnol,France,male,Bordeaux,2,France,Ligue 1,Regular Season,Laurent Blanc,France,male,Paris Saint-Germain,2,France,Antony Gautier,2015/2016,Parc des Princes 
Michel Der Zakarian,France,male,Nantes,0,France,Ligue 1,Regular Season,Willy Sagnol,France,male,Bordeaux,2,France,Clément Turpin,2015/2016,Stade Matmut Atlantique
Ghislain Printant,France,male,Bastia,1,France,Ligue 1,Regular Season,Christophe Galtier,France,male,Saint-Étienne,2,France,Antony Gautier,2015/2016,Stade Geoffroy-Guichard 
Laurent Blanc,France,male,Paris Saint-Germain,3,France,Ligue 1,Regular Season,José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,0,France,Benoît Bastien,2015/2016,Stade Louis II
Dominique Arribagé,France,male,Toulouse,1,France,Ligue 1,Regular Season,Philippe Jacques William Montanier,France,male,Rennes,3,France,Benoît Millot,2015/2016,Roazhon Park
Sylvain Ripoll,France,male,Lorient,1,France,Ligue 1,Regular Season,Olivier Guégan,France,male,Stade de Reims,4,France,Johan Hamel,2015/2016,Stade Auguste-Delaune II 
Thierry Laurey,France,male,Gazélec Ajaccio,0,France,Ligue 1,Regular Season,Hervé Renard,France,male,Lille,1,France,Mikael Lesage,2015/2016,Decathlon Arena ? Stade Pierre-Mauroy
Rolland Courbis,France,male,Montpellier,0,France,Ligue 1,Regular Season,Jean-Marc Furlan,France,male,Troyes,0,France,Wilfried Bien,2015/2016,Stade de l''Aube
Hubert Fournier,France,male,Lyon,4,France,Ligue 1,Regular Season,Patrice Garande,France,male,Caen,0,France,Nicolas Rainville,2015/2016,Stade Michel d''Ornano
José Miguel González Martín del Campo,France,male,Marseille,0,France,Ligue 1,Regular Season,Jocelyn Gourvennec,France,male,Guingamp,2,France,Amaury Delerue,2015/2016,Stade du Roudourou
Willy Sagnol,France,male,Bordeaux,0,France,Ligue 1,Regular Season,Hervé Renard,France,male,Lille,0,France,Lionel Jaffredo,2015/2016,Decathlon Arena ? Stade Pierre-Mauroy
Jean-Marc Furlan,France,male,Troyes,0,France,Ligue 1,Regular Season,José Miguel González Martín del Campo,France,male,Marseille,6,France,Tony Chapron,2015/2016,Orange Vélodrome
Christophe Galtier,France,male,Saint-Étienne,1,France,Ligue 1,Regular Season,Sylvain Ripoll,France,male,Lorient,0,France,Frank Schneider,2015/2016,Stade Yves Allainmat - Le Moustoir
Stéphane Moulin,France,male,Angers,2,France,Ligue 1,Regular Season,Thierry Laurey,France,male,Gazélec Ajaccio,0,France,Bartolomeu Varela Teles,2015/2016,Stade Ange Casanova (Ajaccio)
Olivier Guégan,France,male,Stade de Reims,0,France,Ligue 1,Regular Season,Michel Der Zakarian,France,male,Nantes,1,France,Hakim Ben El Hadj Salem,2015/2016,Stade de la Beaujoire - Louis Fonteneau
Philippe Jacques William Montanier,France,male,Rennes,2,France,Ligue 1,Regular Season,Hubert Fournier,France,male,Lyon,1,France,Ruddy Buquet,2015/2016,Stade de Gerland
Jocelyn Gourvennec,France,male,Guingamp,0,France,Ligue 1,Regular Season,Ghislain Printant,France,male,Bastia,3,France,Fredy Fautrel,2015/2016,Stade Armand-Césari
