Unnamed: 0,Home_Team,Away_team,Home_score,Away_score,Season,Result
5691,AC Avignonnais,Hy?es 83 FC,2,0,1964-1965,win
22781,Numancia,Elche,1,0,2015-16,win
23095,OGC Nice,Valenciennes FC,2,0,1981-1982,win
63300,Stade brestois 29,FC Rouen 1899,1,0,1984-1985,win
85516,EFC Fr?us Saint-Rapha?,Chamois niortais FC,1,0,2010-2011,win
11613,Stade brestois 29,AS Cherbourg,1,0,1986-1987,win
119160,Olympique de Marseille,US Boulogne CO,1,1,1964-1965,draw
23058,LOSC Lille,Stade fran?is,2,1,1956-1957,win
46893,AC Avignonnais,Montpellier HSC,1,0,1980-1981,win
77864,Thonon Evian Grand Gen?e FC,Stade de Reims,1,1,2010-2011,draw
112699,Olympique de Valence,N?es Olympique,1,0,1997-1998,win
116229,AS Baume-les-Dames,FC Metz r?erve,1,0,1989-1990,win
108711,UES Montmorillon,La Roche VF,1,1,1981-1982,draw
5640,FC Nevers,FC Melun,1,1,1976-1977,draw
47533,US Saint-Gaudens,FC Cournon,1,0,1967-1968,win
31553,Montpellier HSC,Stade rennais FC,1,0,2016-2017,win
26001,Castellon,Tenerife,1,0,1974-75,win
48117,Angers SCO r?erve,Stade Poitevin FC,1,1,1968-1969,draw
2036,EA Guingamp,Dijon FCO,1,0,2012-2013,win
37378,AS Saint-Etienne,FC Chalon,1,0,1986-1987,win
83630,AC Ajaccio,Le Mans FC,1,0,2005-2006,win
38444,Zaragoza,Barcelona,1,1,1986-87,draw
13080,Olympique d'Al? en C?ennes,FC Martigues,1,0,2002-2003,win
103196,FC Gueugnon r?erve,ES Viry-Ch?illon,0,0,1977-1978,draw
111543,Olympique de Marseille,FC Metz,1,0,2005-2006,win
56614,Santander,Barakaldo,2,0,1974-75,win
50510,Sevilla,Deportivo,1,0,1995-96,win
3288,Olympique de Marseille,Paris FC,1,1,1972-1973,draw
10717,'Gimnastic de Tarragona','Recreativo de Huelva',1,0,2004-05,win
112522,'Real Madrid',Betis,2,0,1997-98,win
68780,US Boulogne CO,Stade briochin,1,1,2021-2022,draw
99272,Hertha BSC,Eintracht Frankfurt,1,0,2016,win
103087,Toulouse FC,Olympique Lyonnais,1,1,2000-2001,draw
105709,Valencia,Sevilla,1,0,2014-15,win
90442,AFC Creil,USM Senlis,1,1,1982-1983,draw
74027,FC Girondins de Bordeaux,LOSC Lille,1,0,1987-1988,win
48744,FC Girondins de Bordeaux,Olympique Lyonnais,1,1,2017-2018,draw
33072,Stade lavallois MFC,FC Martigues,1,0,2000-2001,win
43233,EFC Fr?us Saint-Rapha?,RC Strasbourg Alsace,1,0,2015-2016,win
1968,Numancia,'Recreativo de Huelva',1,1,2001-02,draw
59080,Deportivo,Villarreal,1,0,2006-07,win
94933,US Orl?ns,Dijon FCO,1,1,2014-2015,draw
108328,AS Saint-Etienne,ASM Omnisports,2,0,1975-1976,win
55605,Athl?ic Club arl?ien,FC S?e 34,1,0,1980-1981,win
29455,USM Romilly,SC Douai,1,1,1980-1981,draw
33275,Santander,'Real Madrid',1,1,1994-95,draw
3498,Amicale sportive Muret football,Sporting Club de Bastia,1,0,1980-1981,win
9677,Clermont Foot 63,FC Libourne,1,0,2007-2008,win
30760,CS Sedan,FC Rouen 1899,1,0,1993-1994,win
39661,US Boulogne CO,Association sportive Cannes,1,1,1961-1962,draw
97381,Sevilla,'Atletico de Bilbao',1,0,1995-96,win
66571,UCK Vannes,Angers SCO r?erve,1,1,1970-1971,draw
94262,Leicester City,West Ham United,1,0,2015/2016,win
